Amount,Date,Description
20000.0,2021-05-21,add
-70.8,2021-05-15,other
100.0,2021-05-09,Dividend
-23.6,2021-05-05,DP Charges
-27832.86,2021-04-12,withdraw
550.0,2021-03-24,Dividend
53.0,2021-03-06,Dividend
-23.6,2021-03-04,DP Charges
-424.8,2021-03-04,DP Charges
320.0,2021-03-04,Dividend
-23.6,2021-03-02,DP Charges
-23.6,2021-02-23,DP Charges
6000.0,2021-02-13,add
-23.6,2021-02-10,DP Charges
-23.6,2021-02-02,DP Charges
10000.0,2021-02-01,add
10.0,2021-02-01,Dividend
14346.25,2021-01-27,add
6907.09,2021-01-13,add
200.0,2020-11-21,Dividend
5000.0,2020-11-20,add
10000.0,2020-11-19,add
-23.6,2020-11-07,DP Charges
3000.0,2020-11-06,add
10000.0,2020-11-04,add
20000.0,2020-11-02,add
-17727.0,2020-10-26,add
-23.6,2020-10-07,DP Charges
-23.6,2020-09-15,DP Charges
10000.0,2020-09-04,add
5000.0,2020-08-31,add
10000.0,2020-08-27,add
-70.8,2020-08-08,DP Charges
8000.0,2020-07-20,add
5000.0,2020-07-08,add
50.0,2020-03-30,Dividend
14345.0,2020-03-20,add
740.0,2020-03-09,add
1000.0,2020-02-29,add
