date,open,high,low,close,adjustedClose,volume,dividendAmt,splitCoeff
2020-03-16,1065.6497,1079.6496,1005.5497,1015.2497,1001.9187,909725.0,0.0,1.0
2020-03-17,1041.1997,1058.9997,1003.9997,1008.8997,995.652,973956.0,0.0,1.0
2020-03-18,1022.9997,1035.0997,961.1998,968.8497,956.1279,1014234.0,0.0,1.0
2020-03-19,924.9997,967.4997,890.9998,917.0998,905.0575,1581683.0,0.0,1.0
2020-03-20,938.9997,1033.6997,930.0497,1020.1997,1006.8037,1796309.0,0.0,1.0
2020-03-23,919.9997,951.9997,875.6997,883.8498,872.2441,1259447.0,0.0,1.0
2020-03-24,942.9997,970.3997,895.7997,943.0997,930.7161,1035282.0,0.0,1.0
2020-03-25,950.9997,1151.9996,950.9997,1081.2496,1067.052,118727947.0,0.0,1.0
2020-03-26,1089.9997,1117.1496,1043.1497,1074.7497,1060.6374,930690.0,0.0,1.0
2020-03-27,1099.9997,1107.6996,1047.2496,1065.4997,1051.5088,88311809.0,0.0,1.0
2020-03-30,1047.9496,1073.9997,1019.9997,1032.3497,1018.7942,1491353.0,0.0,1.0
2020-03-31,1070.9997,1128.9996,1048.7997,1112.4496,1097.8423,2139566.0,0.0,1.0
2020-04-01,1116.1997,1124.9496,1044.7497,1080.6497,1066.4599,833265.0,0.0,1.0
2020-04-03,1129.9996,1131.5996,1056.9997,1078.1997,1064.0421,1487426.0,0.0,1.0
2020-04-07,1105.9996,1213.6996,1100.9997,1206.3997,1190.5587,1258845.0,0.0,1.0
2020-04-08,1174.9996,1228.9496,1161.8497,1192.1497,1176.4958,1082580.0,0.0,1.0
2020-04-09,1211.1996,1232.7496,1193.2496,1219.1996,1203.1906,630725.0,0.0,1.0
2020-04-13,1207.9997,1214.9996,1179.9996,1189.2496,1173.6339,450162.0,0.0,1.0
2020-04-15,1200.9997,1235.9496,1142.6996,1150.0496,1134.9486,842092.0,0.0,1.0
2020-04-16,1146.5996,1187.3496,1146.5996,1168.6996,1153.3537,597698.0,0.0,1.0
2020-04-17,1219.9997,1229.8996,1192.6996,1225.0497,1208.9638,564636.0,0.0,1.0
2020-04-20,1226.4996,1256.9996,1202.2996,1244.4496,1228.109,803967.0,0.0,1.0
2020-04-21,1208.0996,1252.5496,1164.4497,1236.0497,1219.8194,1158176.0,0.0,1.0
