Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,35.076898949511644,36.88189697265625,35.076898949511644,36.88189697265625,30313299,0.0,0.0
2000-01-04,37.283821889517576,39.82689666748047,36.68459332032385,39.82689666748047,60772935,0.0,0.0
2000-01-05,39.75381985981622,41.91689800156341,37.079206494659154,41.726898193359375,103133235,0.0,0.0
2000-01-06,42.077650862657435,43.773035436568286,42.077650862657435,42.81572723388672,63302093,0.0,0.0
2000-01-07,42.91073045392658,46.235729132423344,42.706114651646224,45.819190979003906,80825459,0.0,0.0
2000-01-10,46.47688800080145,47.49996422594029,44.869196368645085,44.90573501586914,55941277,0.0,0.0
2000-01-11,45.16150158148444,45.59996236111108,41.31765805038242,42.17265701293945,53134636,0.0,0.0
2000-01-12,42.384584942017,44.43073748120775,41.215357025741945,44.40150833129883,38604413,0.0,0.0
2000-01-13,44.50380932188004,46.15534602053635,44.39419338888548,45.08842468261719,60156458,0.0,0.0
2000-01-14,45.30765828426047,46.842269610703795,45.16150370133548,46.16996383666992,66838789,0.0,0.0
2000-01-17,46.47688521361613,47.79227053766472,45.146886790408175,45.161502838134766,32986324,0.0,0.0
2000-01-18,45.23458865120773,47.06150945280657,45.015356739703336,46.769203186035156,50520971,0.0,0.0
2000-01-19,46.91535441045042,47.33189267959518,46.13343257408485,46.33074188232422,42197522,0.0,0.0
2000-01-20,46.476881501927636,47.426883248346776,45.16149923149396,45.44649887084961,52089475,0.0,0.0
2000-01-21,45.599956646043715,47.719185939107625,45.599956646043715,47.631492614746094,67229114,0.0,0.0
2000-01-24,47.97496313648781,48.80073301592118,47.57304097023852,47.960350036621094,48896756,0.0,0.0
2000-01-25,47.93842720806969,47.93842720806969,46.84227363900082,47.28804397583008,36268950,0.0,0.0
2000-01-26,47.28804397583008,47.28804397583008,47.28804397583008,47.28804397583008,0,0.0,0.0
2000-01-27,47.0688119332162,48.976119373228585,47.06150538289171,48.66919708251953,60815249,0.0,0.0
2000-01-28,48.7422687342655,49.6191903057377,48.32573054553113,49.07111358642578,48109335,0.0,0.0
2000-01-31,47.93843248558404,49.3268953984957,47.93843248558404,48.08458709716797,38616487,0.0,0.0
2000-02-01,48.033430121524326,49.61189277541015,48.00420096973073,49.58266067504883,44754795,0.0,0.0
2000-02-02,49.663041410883785,50.56919518525802,49.25381267148634,49.37073516845703,44336080,0.0,0.0
2000-02-03,49.253806445094334,50.09419231439847,48.88842295110876,49.882266998291016,10656584715,0.0,0.0
2000-02-04,50.0576622894383,50.547277847910834,49.39996657959651,49.43650817871094,47126406,0.0,0.0
2000-02-07,49.692265960885884,51.42418939844938,49.692265960885884,50.276878356933594,45203866,0.0,0.0
2000-02-08,50.437663255032525,50.934585377574145,50.13074094102551,50.33535385131836,21806976,0.0,0.0
2000-02-09,50.52534491908122,51.519188992231655,50.16727091373087,50.49611282348633,42275868,0.0,0.0
2000-02-10,50.56919408552759,53.26572980183001,50.306116998780894,53.23650360107422,46542761,0.0,0.0
2000-02-11,53.33149242127094,55.5384122758743,52.030726183258054,52.24995803833008,47239878,0.0,0.0
2000-02-14,51.44610682905042,53.170723643052185,51.44610682905042,51.51918411254883,20790226,0.0,0.0
2000-02-15,51.44611323559033,52.176886161576945,50.788423499337036,50.87611389160156,27149397,0.0,0.0
2000-02-16,51.007652981298456,51.51918810832758,49.991883379595585,50.42303466796875,24132238,0.0,0.0
2000-02-17,50.56919449876564,51.957657240004615,50.27688531173954,51.665348052978516,31319292,0.0,0.0
2000-02-18,51.46073085559905,52.16957231885306,50.87611253045077,51.15380859375,28404515,0.0,0.0
2000-02-21,51.15380949501723,51.738421933331175,50.583804259101065,50.7811164855957,15860539,0.0,0.0
2000-02-22,50.56919558341886,51.08073667168652,49.43650630510028,49.83842849731445,21911918,0.0,0.0
2000-02-23,49.69227897888768,50.23304632403966,47.35381993638401,48.08458709716797,18597137,0.0,0.0
2000-02-24,48.362280087665866,49.655740139331456,48.12112556917247,49.01996994018555,22172731,0.0,0.0
2000-02-25,48.39150089601868,49.7653475159855,46.769196197846256,47.07611846923828,29309739,0.0,0.0
2000-02-28,48.201500505321775,49.663037499481675,46.62304102339985,49.47303771972656,30598720,0.0,0.0
2000-02-29,49.692269432172594,50.3864978066877,45.51958084106445,45.51958084106445,54316898,0.0,0.0
2000-03-01,44.57689492084303,47.13458575803407,43.55381858596661,46.41112518310547,44156776,0.0,0.0
2000-03-02,46.476883321127104,46.90073099653623,42.69881057739258,42.69881057739258,48701389,0.0,0.0
2000-03-03,41.65381694257832,42.09227777006465,39.28612611529817,39.32997131347656,37534465,0.0,0.0
2000-03-06,40.92304322669615,42.06304186468126,36.31920053197903,38.131507873535156,41657746,0.0,0.0
2000-03-07,37.5688118588418,38.43842680980508,35.47881453640416,36.09265899658203,37910083,0.0,0.0
2000-03-08,35.36921165169602,36.39228809489139,33.615368005399965,34.28767395019531,28696420,0.0,0.0
2000-03-09,34.375357620076436,35.27420179309593,32.73843400334072,33.46920394897461,22013406,0.0,0.0
2000-03-10,33.90766777282335,34.199974008107986,31.42305445291783,32.11728286743164,38755482,0.0,0.0
2000-03-13,32.88460127837725,33.76152319284908,29.552294465102264,29.742294311523438,8953351497,0.0,0.0
2000-03-14,30.093060814124254,32.11728808822226,29.084600452753765,32.109981536865234,43033968,0.0,0.0
2000-03-15,32.15382712120694,34.67497634887695,32.15382712120694,34.67497634887695,37475180,0.0,0.0
2000-03-16,34.93074798362599,36.15844020829296,33.61536535270496,34.12690353393555,40648189,0.0,0.0
2000-03-17,34.12690353393555,34.12690353393555,34.12690353393555,34.12690353393555,0,0.0,0.0
2000-03-20,34.12690353393555,34.12690353393555,34.12690353393555,34.12690353393555,0,0.0,0.0
2000-03-21,34.63843671560071,35.29612646184917,33.330360824480394,35.14997482299805,23971962,0.0,0.0
