Datetime,open,high,low,close,volume
2021-06-14 09:15:00+05:30,15950.0,15950.0,15832.7998046875,15834.650390625,0
2021-06-14 09:16:00+05:30,15840.5,15898.2998046875,15818.2001953125,15860.5,255
2021-06-14 09:17:00+05:30,15870.0,15870.0,15821.0,15822.0,292
2021-06-14 09:18:00+05:30,15842.5,15853.0498046875,15830.349609375,15830.599609375,151
2021-06-14 09:19:00+05:30,15846.25,15846.25,15812.400390625,15819.2998046875,203
2021-06-14 09:20:00+05:30,15825.0,15825.0,15800.0,15814.9501953125,318
2021-06-14 09:21:00+05:30,15814.9501953125,15824.9501953125,15814.9501953125,15817.7001953125,45
2021-06-14 09:22:00+05:30,15830.9501953125,15830.9501953125,15814.7001953125,15814.7001953125,18
2021-06-14 09:23:00+05:30,15814.7001953125,15836.4501953125,15814.7001953125,15836.4501953125,177
2021-06-14 09:24:00+05:30,15817.400390625,15817.400390625,15790.400390625,15812.25,305
2021-06-14 09:25:00+05:30,15809.9501953125,15809.9501953125,15750.0,15750.150390625,209
2021-06-14 09:26:00+05:30,15754.7998046875,15800.0,15754.7998046875,15790.5498046875,186
2021-06-14 09:27:00+05:30,15778.599609375,15788.650390625,15748.349609375,15773.599609375,571
2021-06-14 09:28:00+05:30,15765.0,15765.0,15718.650390625,15718.650390625,252
2021-06-14 09:29:00+05:30,15717.7001953125,15734.2998046875,15716.099609375,15730.0,197
2021-06-14 09:30:00+05:30,15724.900390625,15724.900390625,15659.650390625,15703.5498046875,1007
2021-06-14 09:31:00+05:30,15694.5498046875,15742.5,15694.5498046875,15699.349609375,924
2021-06-14 09:32:00+05:30,15702.0,15702.0,15640.0,15640.0,523
2021-06-14 09:33:00+05:30,15625.0,15634.25,15600.0,15628.650390625,437
2021-06-14 09:34:00+05:30,15637.400390625,15637.650390625,15579.349609375,15622.400390625,530
2021-06-14 09:35:00+05:30,15640.7001953125,15673.349609375,15634.5,15673.349609375,107
2021-06-14 09:36:00+05:30,15687.9501953125,15711.2001953125,15670.0,15692.150390625,612
2021-06-14 09:37:00+05:30,15710.9501953125,15720.0,15686.599609375,15700.5,299
2021-06-14 09:38:00+05:30,15709.0,15730.0,15700.0,15730.0,84
2021-06-14 09:39:00+05:30,15730.0,15739.25,15713.7001953125,15718.4501953125,204
2021-06-14 09:40:00+05:30,15706.5498046875,15728.349609375,15689.9501953125,15689.9501953125,176
2021-06-14 09:41:00+05:30,15699.150390625,15724.0,15689.9501953125,15724.0,79
2021-06-14 09:42:00+05:30,15711.25,15726.650390625,15711.099609375,15712.2998046875,42
2021-06-14 09:43:00+05:30,15719.9501953125,15731.2001953125,15711.5,15731.2001953125,53
2021-06-14 09:44:00+05:30,15727.5,15727.5,15712.650390625,15725.0,77
2021-06-14 09:45:00+05:30,15713.349609375,15740.0,15713.349609375,15727.599609375,232
2021-06-14 09:46:00+05:30,15727.650390625,15727.650390625,15693.2001953125,15693.2001953125,406
2021-06-14 09:47:00+05:30,15695.599609375,15720.0,15695.599609375,15711.0,39
2021-06-14 09:48:00+05:30,15710.7998046875,15716.9501953125,15701.0498046875,15716.7998046875,28
2021-06-14 09:49:00+05:30,15700.099609375,15710.0,15700.099609375,15710.0,27
2021-06-14 09:50:00+05:30,15710.0,15710.0,15692.7001953125,15692.7001953125,149
2021-06-14 09:51:00+05:30,15692.5498046875,15699.0,15692.5,15692.650390625,75
2021-06-14 09:52:00+05:30,15700.0,15712.349609375,15699.0,15711.0,39
2021-06-14 09:53:00+05:30,15726.349609375,15740.0,15713.849609375,15740.0,94
2021-06-14 09:54:00+05:30,15740.0,15740.0,15726.5,15739.099609375,24
2021-06-14 09:55:00+05:30,15742.099609375,15742.099609375,15721.0,15738.349609375,903
2021-06-14 09:56:00+05:30,15747.150390625,15758.4501953125,15739.2998046875,15758.4501953125,77
2021-06-14 09:57:00+05:30,15758.849609375,15760.0,15735.0,15735.0,187
2021-06-14 09:58:00+05:30,15760.0,15760.0,15746.9501953125,15746.9501953125,32
2021-06-14 09:59:00+05:30,15748.7998046875,15756.0,15746.9501953125,15746.9501953125,7
2021-06-14 10:00:00+05:30,15748.099609375,15757.4501953125,15748.0,15748.099609375,46
2021-06-14 10:01:00+05:30,15758.7998046875,15774.7998046875,15757.5,15774.7998046875,123
2021-06-14 10:02:00+05:30,15770.0,15770.0,15732.25,15746.349609375,162
2021-06-14 10:03:00+05:30,15730.0,15742.2998046875,15721.0,15733.0498046875,36
2021-06-14 10:04:00+05:30,15734.0,15743.25,15734.0,15739.4501953125,101
2021-06-14 10:05:00+05:30,15743.400390625,15750.0,15743.0,15750.0,53
2021-06-14 10:06:00+05:30,15750.0,15750.0,15720.0,15720.0,350
2021-06-14 10:07:00+05:30,15728.650390625,15744.7998046875,15728.650390625,15729.4501953125,54
2021-06-14 10:08:00+05:30,15738.2001953125,15745.599609375,15728.650390625,15745.0,24
2021-06-14 10:09:00+05:30,15735.400390625,15735.400390625,15735.400390625,15735.400390625,0
2021-06-14 10:10:00+05:30,15745.0,15753.650390625,15729.5498046875,15753.650390625,78
2021-06-14 10:11:00+05:30,15760.0,15774.0,15760.0,15774.0,66
2021-06-14 10:12:00+05:30,15765.400390625,15770.0,15761.2998046875,15770.0,7
2021-06-14 10:13:00+05:30,15760.0,15786.099609375,15760.0,15781.5498046875,132
2021-06-14 10:14:00+05:30,15775.0,15780.0,15771.349609375,15773.0,50
2021-06-14 10:15:00+05:30,15780.0,15780.0,15759.0498046875,15759.0498046875,0
2021-06-14 10:16:00+05:30,15761.650390625,15778.900390625,15761.0,15778.900390625,4
2021-06-14 10:17:00+05:30,15779.7998046875,15781.650390625,15771.2998046875,15781.650390625,17
2021-06-14 10:18:00+05:30,15789.75,15799.900390625,15781.599609375,15790.5,47
2021-06-14 10:19:00+05:30,15800.0,15809.900390625,15788.75,15792.7001953125,177
2021-06-14 10:20:00+05:30,15785.0,15797.349609375,15785.0,15792.400390625,34
2021-06-14 10:21:00+05:30,15781.5498046875,15834.0,15781.5498046875,15834.0,1067
2021-06-14 10:22:00+05:30,15821.75,15821.75,15800.0,15811.4501953125,130
2021-06-14 10:23:00+05:30,15802.0,15817.4501953125,15800.0,15800.0,38
2021-06-14 10:24:00+05:30,15800.0,15813.2998046875,15785.0,15785.0,39
2021-06-14 10:25:00+05:30,15785.0,15817.900390625,15785.0,15814.4501953125,139
2021-06-14 10:26:00+05:30,15814.4501953125,15814.4501953125,15802.75,15802.75,10
2021-06-14 10:27:00+05:30,15814.4501953125,15817.7998046875,15814.0,15817.7998046875,17
2021-06-14 10:28:00+05:30,15800.099609375,15812.75,15800.0,15810.9501953125,15
2021-06-14 10:29:00+05:30,15810.9501953125,15811.0,15807.599609375,15807.599609375,53
2021-06-14 10:30:00+05:30,15807.599609375,15814.7001953125,15807.599609375,15814.7001953125,110
2021-06-14 10:31:00+05:30,15812.650390625,15812.7001953125,15810.349609375,15812.5,7
2021-06-14 10:32:00+05:30,15811.5,15811.5,15799.9501953125,15800.0498046875,33
2021-06-14 10:33:00+05:30,15800.0498046875,15810.2001953125,15800.0498046875,15810.2001953125,11
2021-06-14 10:34:00+05:30,15817.75,15825.650390625,15817.75,15824.4501953125,103
2021-06-14 10:35:00+05:30,15824.400390625,15825.650390625,15824.2998046875,15825.650390625,14
2021-06-14 10:36:00+05:30,15832.9501953125,15832.9501953125,15830.5498046875,15830.5498046875,185
2021-06-14 10:37:00+05:30,15828.25,15828.25,15825.0,15825.0,0
2021-06-14 10:38:00+05:30,15825.0,15825.0,15825.0,15825.0,4
2021-06-14 10:39:00+05:30,15820.0498046875,15820.0498046875,15820.0498046875,15820.0498046875,2
2021-06-14 10:40:00+05:30,15827.4501953125,15827.75,15827.400390625,15827.400390625,45
