totalInvestment,totalNetWorth,NumberOfTrades,totalBuy,totalSell,currentStocksInHandValue,profitPercent,name
1402641.303510189,1387679.7198725939,1383,39982,39698,22052.60043334961,0.0050554741101725455,FEDERALBNK
15860951.84074068,15395355.668298244,1224,35834,35500,730558.2163085938,0.01670530536418199,SUPREMEIND
2853820.8556280136,2812680.945025921,1224,35834,35500,89962.9020385742,0.0171079384118305,ZENSARTECH
158258959.94308472,158267912.5630188,1213,35361,35269,1542044.1640625,0.00980037265854883,NESTLEIND
25365331.870752335,25463670.62842369,1388,40007,39898,181991.8526611328,0.011051722554268098,PEL
1130579.1078662872,1116480.055278778,833,24196,24046,6630.000114440918,-0.0066063952722108825,CORDSCABLE
2410062.2681598663,2369577.8645477295,903,26211,26083,4384.0,-0.014979033566506256,AUTOIND
1015452.2955055237,1009341.9219741821,262,7376,7297,38504.599517822266,0.03190127801164097,LAURUSLABS
2369850.6924324036,2323909.001657486,1053,31292,30898,46078.29879760743,5.764414742500318e-05,ASTRAMICRO
55879068.43261719,57782757.0546875,239,6539,6520,288629.0,0.03923325287202952,TASTYBITE
31542.849822998047,27482.750564575195,7,165,132,7243.5,0.1009230541768016,LXCHEM
2955647.6300382614,2936254.3919768333,1224,35834,35500,70474.0,0.017282426165906212,WSTCSTPAPR
3742220.1093090773,3734398.4798547924,1388,40007,39898,30852.448669433594,0.0061543197734034005,VEDL
16158654.584501266,15955996.1521492,1224,35834,35500,417984.28369140625,0.013325728959258288,VTL
2292100.570637226,2264976.038334608,1224,35834,35500,3423.5,-0.010340310807578967,BAJAJHIND
1451503.7008919716,1429707.2320017815,580,17146,16847,32561.100456237793,0.007416192986233955,MINDACORP
3887211.6909389496,3879603.2583122253,1224,35834,35500,44121.40203857422,0.009393100328690956,INDIANCARD
1196042.3605957031,1225136.2494506836,44,1387,1335,64508.6025390625,0.07826018080782952,ROSSARI
3974102.2047538757,3895676.498600006,800,23042,22838,27448.200622558586,-0.012827426901686385,TATAMTRDVR
651053.5083999634,614167.1422653198,228,6323,6092,23504.25,-0.020554556517991276,STARCEMENT
4264837.951980591,4237312.128982544,282,8223,8132,48339.20111083984,0.0048802271849806705,DBL
10178596.068717957,10287801.245140076,935,27139,27102,36295.150451660156,0.014294734351522977,TECHM
6794543.990589142,6616598.128894806,826,23993,23693,149655.0018310547,-0.004163761380081697,NESCO
76591955.34916687,75722966.80486679,1224,35834,35500,1769849.365234375,0.011761820374312911,BLUEDART
4056881.2763080597,3931314.2937107086,721,20912,20908,184.39999389648438,-0.03090615033170462,MMTC
456615.2324823737,453762.866571188,976,28513,28105,10812.0,0.017431819007749632,ORIENTABRA
3039228.6485905647,3012355.895983219,899,26044,25863,39847.14889526368,0.004268976700366041,LAOPALA
21946117.928260803,21923304.427520752,1388,40007,39898,262820.7946777344,0.010936207247324463,HINDUNILVR
98424407.94444275,96794524.92900848,1212,35361,35000,2511404.7294921875,0.00895633240238043,WABCOINDIA
2689828.0994405746,2690117.867846012,1316,38536,38352,41013.59887695313,0.01535539289331567,STLTECH
3748685.401123047,3822100.9526367188,96,2707,2657,84670.00122070312,0.04217093082471393,IRCTC
5510822.907688141,5499029.360546112,1388,40007,39898,56162.25,0.00805119373298541,WIPRO
250821.92381429672,255051.32475423813,291,8558,8338,4212.99991607666,0.03365894307655754,SETCO
887467648.9050293,868730207.4016724,1224,35834,35500,25867031.84375,0.008033634070142907,MRF
4069084.4869737625,4153836.258939743,1352,39211,39099,16161.600341796875,0.024800018930751705,WELCORP
411580.1991057396,411581.05073690414,597,17573,17413,1095.9999847412107,0.00266497663951994,FCONSUMER
12273754.014221191,12324658.47869873,336,10010,9835,346543.75,0.03238196023946944,LUXIND
318558.6551513672,174160.92059326172,34,1172,674,141158.10607910156,-0.010169645139494187,UNIDT
15982140.820617676,15567287.028862,628,18576,18024,606620.373046875,0.01199880438068793,SYMPHONY
3119837.394890785,3115143.3394708633,1388,40007,39898,9804.549667358398,0.0016380642964937038,EIHOTEL
21724553.62728882,21380708.69403839,977,28528,28105,773667.0,0.019785081623479767,AIAENG
3016750.7335090637,3007301.4418210983,1213,35361,35269,11564.399719238283,0.0007011212453780061,CASTROLIND
21267697.93558407,20837133.207567215,1224,35834,35500,826282.5673828125,0.018606519641407145,SUNDARMFIN
1043933.248254776,1010361.3535404205,322,9586,9295,52641.89822387696,0.018267454879325174,JSLHISAR
1477836.863210678,1457287.1877498627,1224,35834,35500,4425.5,-0.010910659939680224,SAKHTISUG
134768.39054393768,136343.74609279633,595,17485,17413,136.7999982833862,0.012704429727413162,VIKASECO
4100700.150062561,4148017.8572387695,706,20626,20577,4165.0,0.012554613917680146,ISFT
1732760.0666322708,1695353.9577171803,1224,35834,35500,41983.7989807129,0.002641848778590195,BALMLAWRIE
13675494.713747025,13502138.635493279,1224,35834,35500,382112.71630859375,0.015265015447302186,BBTC
8058506.924524307,7945392.960247517,1224,35834,35500,141215.1959228516,0.003487151144654474,LICHSGFIN
2314007.823433876,2289427.618581295,1223,35735,35500,51476.750717163086,0.011623359952460699,CHAMBLFERT
1308422.0546264648,1239106.7439727783,194,5609,5420,62190.447692871094,-0.005445385864310788,NEWGEN
14892890.81353569,14958305.65763855,1387,40007,39882,46356.25076293945,0.007504996596376953,RIIL
5886957.435783386,5945290.429550171,851,24650,24557,71400.75,0.02203748628760398,ADANIPORTS
18690258.078250885,18352928.847400665,1224,35834,35500,759933.5,0.022610938135816765,HEG
7926796.996667981,7732212.192850053,1224,35834,35500,566464.0,0.046914181899497504,AARTIIND
1319208.0107500553,1274876.49311018,1224,35834,35500,43837.5,-0.0003744804730184521,ALEMBICLTD
54554337.19126129,53548145.180137634,1224,35834,35500,955507.2163085938,-0.000929069940623939,HEROMOTOCO
6645553.84579277,6788379.632118225,857,24759,24725,37877.70166015625,0.02719163702209898,BAJAJELEC
1517003.2290158272,1501945.8783979416,1223,35735,35500,4993.75,-0.006633868949912825,RAJSREESUG
834569.9406967163,809279.3792686462,382,11464,11159,22341.25,-0.003533929613625818,ZENTEC
6733191.598573446,6622526.588675976,1224,35834,35500,192116.80407714844,0.012097055755391701,CHOLAHLDNG
1841683.5901184082,1838014.2316131592,675,19912,19871,3234.900062561035,-0.00023590286899393803,ASHOKA
4350524.680774689,4372276.548233032,1201,34896,34710,6426.299858093263,0.0064769583864121745,UNIONBANK
255609.3257523775,249130.5821145773,1222,35722,35500,654.900010585785,-0.022784159420131258,CREATIVEYE
2487746.118227005,2486184.924598694,1125,32917,32834,8146.450126647949,0.0026470773886806613,JSL
587384.2029514313,592676.5707373619,1219,35568,35445,2478.4499530792236,0.013229531369696026,MOTOGENFIN
3545306.01663208,3393159.70413208,227,6255,6092,104491.1480102539,-0.0134417633530594,ERIS
25768886.726694107,25540936.765846252,1207,35153,34877,632964.626953125,0.015717196881684214,SKFINDIA
