totalInvestment,totalNetWorth,NumberOfTrades,totalBuy,totalSell,currentStocksInHandValue,stocksInHand,name,stockGrowth,profitPercent
22611.419200897217,22577.910804748535,53,270,260,1089.000015258789,10,MINDACORP,29.28471950746656,0.04667958299000647
54498.18454742432,55521.28643035889,105,520,520,0.0,0,INDIANCARD,5.890915438732607,0.0187731369665033
24060.0,15396.000366210938,5,30,20,12405.50048828125,10,ROSSARI,0.6726892846908707,0.15550710118421393
61279.01937484741,63389.65440750122,77,380,380,0.0,0,TATAMTRDVR,2.227938076333743,0.03444302885695556
12701.934661865234,11801.867980957031,26,130,120,1017.5,10,STARCEMENT,-0.18559781933326572,0.009245309649117043
25746.87113761902,24291.056327819824,105,520,520,0.0,0,CORDSCABLE,-0.6629161558570924,-0.05654336800839805
42597.646560668945,42022.9549407959,95,470,470,0.0,0,AUTOIND,-0.8467156001319637,-0.013491158931856775
18129.136962890625,16177.719497680664,29,150,140,4873.999938964844,10,LAURUSLABS,4.340025003067708,0.16120913420960153
48809.14224624634,48243.62226486206,124,620,620,0.0,0,ASTRAMICRO,4.152299399904459,-0.01158635360832977
1198313.4423828125,1056435.966796875,27,140,130,151910.0,10,TASTYBITE,2.3045794376838775,0.008372203848529904
0.0,0.0,0,0,0,0.0,0,LXCHEM,0.334752229086899,0.0
49405.33598899841,51566.707735061646,123,610,610,0.0,0,WSTCSTPAPR,24.210206389128583,0.043747739040668136
65210.43005645275,65303.596913814545,138,690,680,2830.4998779296875,10,VEDL,200.7912571456544,0.04483434218667871
229311.91946029663,228206.23237609863,118,590,580,12514.49951171875,10,VTL,57.69548946067742,0.04975237420877326
32836.449422836304,34761.87678813934,114,570,560,102.5,10,BAJAJHIND,1.0628905081525497,0.06175842397542243
22002.188823223114,22862.8749614954,125,620,620,0.0,0,FEDERALBNK,85.90251668590606,0.03911820524709973
207998.02379131317,200835.898604393,90,450,440,21873.00048828125,10,SUPREMEIND,936.7024508718683,0.07072603399405696
38317.716007232666,41406.16144180298,109,540,540,0.0,0,ZENSARTECH,37.65936990338373,0.08060097929603509
2722425.972290039,2791114.5108032227,206,1030,1030,0.0,0,NESTLEIND,38.71571021719646,0.025230635915291556
455849.3045806885,473266.954536438,127,630,630,0.0,0,PEL,17.056503251863145,0.03820922787580225
