token,symbol,name
7902,LFIC-EQ,LFIC
2029,IRFC-EQ,IRFC
17249,ABMINTLTD-EQ,ABMINTLTD
8840,USHAMART-EQ,USHAMART
15141,COLPAL-EQ,COLPAL
6713,MOLDTKPAC-EQ,MOLDTKPAC
20877,PSPPROJECT-EQ,PSPPROJECT
11403,MAGMA-EQ,MAGMA
17598,ASALCBR-EQ,ASALCBR
21392,MAGADSUGAR-EQ,MAGADSUGAR
8175,SAGARDEEP-EQ,SAGARDEEP
2987,NAZARA-EQ,NAZARA
21614,ABCAPITAL-EQ,ABCAPITAL
1521,INDIAGLYCO-EQ,INDIAGLYCO
13300,NITCO-EQ,NITCO
6407,LAMBODHARA-EQ,LAMBODHARA
1255,GOLDENTOBC-EQ,GOLDENTOBC
17635,ZYDUSWELL-EQ,ZYDUSWELL
11935,SPLIL-EQ,SPLIL
27161,CINELINE-EQ,CINELINE
13251,SAKUMA-EQ,SAKUMA
1110,DANGEE-EQ,DANGEE
22239,EBBETF0431-EQ,EBBETF0431
967,SUBEXLTD-EQ,SUBEXLTD
3396,TAINWALCHM-EQ,TAINWALCHM
638,SUULD-EQ,SUULD
3138,HONDAPOWER-EQ,HONDAPOWER
1448,HLVLTD-EQ,HLVLTD
10181,BALKRISHNA-EQ,BALKRISHNA
18226,MANINFRA-EQ,MANINFRA
15313,IRB-EQ,IRB
7627,SHREERAMA-EQ,SHREERAMA
1782,KANPRPLA-EQ,KANPRPLA
6543,GRPLTD-EQ,GRPLTD
4105,SILINV-EQ,SILINV
17400,NHPC-EQ,NHPC
3496,TIRUMALCHM-EQ,TIRUMALCHM
5428,TRIGYN-EQ,TRIGYN
17691,VIJIFIN-EQ,VIJIFIN
21174,CDSL-EQ,CDSL
13801,SUTLEJTEX-EQ,SUTLEJTEX
278,AUTOAXLES-EQ,AUTOAXLES
4023,MOHOTAIND-EQ,MOHOTAIND
3162,SIMPLEXINF-EQ,SIMPLEXINF
15007,MANGCHEFER-EQ,MANGCHEFER
11265,TVSELECT-EQ,TVSELECT
13260,KEC-EQ,KEC
10276,KAYA-EQ,KAYA
445,5PAISA-EQ,5PAISA
18895,JPINFRATEC-EQ,JPINFRATEC
30392,ICICINF100-EQ,ICICINF100
31409,MTEDUCARE-EQ,MTEDUCARE
10415,MUTHOOTCAP-EQ,MUTHOOTCAP
11593,HDFCSENETF-EQ,HDFCSENETF
553,RELINFRA-EQ,RELINFRA
13560,GRINDWELL-EQ,GRINDWELL
18564,LTTS-EQ,LTTS
1919,KOPRAN-EQ,KOPRAN
21095,SPYL-EQ,SPYL
13187,RCOM-EQ,RCOM
2616,SEAMECLTD-EQ,SEAMECLTD
13656,ALICON-EQ,ALICON
10238,CONFIPET-EQ,CONFIPET
740,SBIETFIT-EQ,SBIETFIT
21551,SMSLIFE-EQ,SMSLIFE
3736,WALCHANNAG-EQ,WALCHANNAG
13951,PARACABLES-EQ,PARACABLES
20446,PODDARHOUS-EQ,PODDARHOUS
2481,ONWARDTEC-EQ,ONWARDTEC
17758,SARDAEN-EQ,SARDAEN
2955,KALYANKJIL-EQ,KALYANKJIL
21951,HFCL-EQ,HFCL
2320,SMCGLOBAL-EQ,SMCGLOBAL
317,BAJFINANCE-EQ,BAJFINANCE
1494,BURGERKING-EQ,BURGERKING
4911,MADRASFERT-EQ,MADRASFERT
1841,KCP-EQ,KCP
11829,SSWL-EQ,SSWL
16965,TATAMTRDVR-EQ,TATAMTRDVR
13,ABB-EQ,ABB
11778,GOKEX-EQ,GOKEX
17659,UNIVPHOTO-EQ,UNIVPHOTO
13310,KEI-EQ,KEI
20560,DOLLAR-EQ,DOLLAR
30023,ATULAUTO-EQ,ATULAUTO
628,CESC-EQ,CESC
20134,RAMKY-EQ,RAMKY
13538,TECHM-EQ,TECHM
2112,MARALOVER-EQ,MARALOVER
13598,SELAN-EQ,SELAN
2043,RAMCOCEM-EQ,RAMCOCEM
17486,EXPLEOSOL-EQ,EXPLEOSOL
20203,URJA-EQ,URJA
6944,GANECOS-EQ,GANECOS
13966,HBLPOWER-EQ,HBLPOWER
1515,INDIACEM-EQ,INDIACEM
3506,TITAN-EQ,TITAN
11671,PRESSMN-EQ,PRESSMN
13510,AKASH-EQ,AKASH
9158,BALAJITELE-EQ,BALAJITELE
1675,ITI-EQ,ITI
13197,GSPL-EQ,GSPL
3466,TFCILTD-EQ,TFCILTD
10515,UTISENSETF-EQ,UTISENSETF
19111,NBIFIN-EQ,NBIFIN
20642,JINDWORLD-EQ,JINDWORLD
22255,NDRAUTO-EQ,NDRAUTO
7506,WOCKPHARMA-EQ,WOCKPHARMA
235,AAKASH-EQ,AAKASH
2463,MIDHANI-EQ,MIDHANI
12026,RENUKA-EQ,RENUKA
19877,RADIOCITY-EQ,RADIOCITY
15179,ECLERX-EQ,ECLERX
6066,ATGL-EQ,ATGL
2176,AKG-EQ,AKG
28913,ROSSELLIND-EQ,ROSSELLIND
16908,TOUCHWOOD-EQ,TOUCHWOOD
11817,MANGALAM-EQ,MANGALAM
21469,OPTIEMUS-EQ,OPTIEMUS
9014,ANUP-EQ,ANUP
11149,SHRENIK-EQ,SHRENIK
715,CLNINDIA-EQ,CLNINDIA
2627,KOTAKIT-EQ,KOTAKIT
11446,SPICEJET-EQ,SPICEJET
9581,METROPOLIS-EQ,METROPOLIS
24781,BSLNIFTY-EQ,BSLNIFTY
2319,NCC-EQ,NCC
12022,AURIONPRO-EQ,AURIONPRO
15189,BGRENERGY-EQ,BGRENERGY
5831,SINTEX-EQ,SINTEX
1336,HEG-EQ,HEG
3821,ZODIACLOTH-EQ,ZODIACLOTH
1482,IFBAGRO-EQ,IFBAGRO
3345,SUNDRMFAST-EQ,SUNDRMFAST
19525,IITL-EQ,IITL
2028,LYKALABS-EQ,LYKALABS
2328,CPSEETF-EQ,CPSEETF
10999,MARUTI-EQ,MARUTI
395,BEML-EQ,BEML
13192,ENIL-EQ,ENIL
14982,CENTUM-EQ,CENTUM
5610,ASTRAZEN-EQ,ASTRAZEN
28899,KITEX-EQ,KITEX
